Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
19 Jan 26,-20.00,Card ending 3696,,CREDIT CARD PURCHASE,NAKED WINES +611300898677,-805.75,Alcohol,Naked Wines,19 Jan 26
19 Jan 26,-122.79,Card ending 3696,,CREDIT CARD PURCHASE,COLES 7868 COWES,-785.75,Groceries,Coles (Cowes),19 Jan 26
19 Jan 26,-21.17,Card ending 3696,,CREDIT CARD PURCHASE,D A B T PTY LTD INVERLOCH,-662.96,Groceries,Foodworks (Inverloch),19 Jan 26
19 Jan 26,-20.00,Card ending 3696,,CREDIT CARD PURCHASE,Phillip Island and Di Cowes,-641.79,Attractions & events,Phillip Island & District Historical Society,19 Jan 26
19 Jan 26,-19.50,Card ending 3696,,CREDIT CARD PURCHASE,COLES 7868 COWES,-621.79,Groceries,Coles (Cowes),19 Jan 26
19 Jan 26,-11.00,Card ending 3696,,CREDIT CARD PURCHASE,Inlet Fish n Chips INVERLOCH,-602.29,Restaurants & takeaway,Inlet Fish N Chips,19 Jan 26
19 Jan 26,-8.11,Card ending 3696,,CREDIT CARD PURCHASE,Paul The Pieman Inverloch,-591.29,Groceries,Paul The Pieman Bakeries (Inverloch),19 Jan 26
19 Jan 26,-29.22,Card ending 3696,,CREDIT CARD PURCHASE,PLINE PH COWES COWES,-583.18,Medical,Priceline Pharmacy (Cowes),19 Jan 26
19 Jan 26,-41.15,Card ending 3696,,CREDIT CARD PURCHASE,COLES 7868 COWES,-553.96,Groceries,Coles (Cowes),19 Jan 26
19 Jan 26,-7.99,Card ending 3696,,CREDIT CARD PURCHASE,Google Play Pass Barangaroo,-512.81,Parking & tolls,Google Play Store,19 Jan 26
19 Jan 26,-15.28,Card ending 3696,,CREDIT CARD PURCHASE,SQ *C & L FALLACE Inverloch,-504.82,Other shopping,Square,19 Jan 26
19 Jan 26,-8.00,Card ending 3696,,CREDIT CARD PURCHASE,Inlet Fish n Chips INVERLOCH,-489.54,Restaurants & takeaway,Inlet Fish N Chips,19 Jan 26
16 Jan 26,-64.71,Card ending 3696,,CREDIT CARD PURCHASE,SPINTEL PTY LTD ST PETERS,-481.54,Phone & internet,Spintel,16 Jan 26
16 Jan 26,-1212.50,Card ending 3696,,CREDIT CARD PURCHASE,INTERNET BPAY DEFT PAYMENTS,-416.83,Other shopping,DEFT Payments,16 Jan 26
16 Jan 26,-6.61,Card ending 3696,,CREDIT CARD PURCHASE,SQ *M & O CAFE AND TAPAS Cowes,795.67,Cafe & coffee,M & O Cafe & Tapas,16 Jan 26
16 Jan 26,1349.48,Card ending 3696,,CREDIT CARD PAYMENT,INTERNET PAYMENT credit rebalance,802.28,Internal transfers,,16 Jan 26
15 Jan 26,-9.85,Card ending 3696,,CREDIT CARD PURCHASE,MOBIL COWES COWES,-547.20,Fuel,Mobil Fuel (Cowes),15 Jan 26
15 Jan 26,-412.55,Card ending 3696,,CREDIT CARD PURCHASE,INTERNET BPAY MEDIBANK PRIVATE,-537.35,Insurance,Medibank,15 Jan 26
14 Jan 26,-154.39,Card ending 3696,,CREDIT CARD PURCHASE,COLES 7868 COWES,-124.80,Groceries,Coles (Cowes),14 Jan 26
14 Jan 26,-6.61,Card ending 3696,,CREDIT CARD PURCHASE,SQ *M & O CAFE AND TAPAS Cowes,29.59,Cafe & coffee,M & O Cafe & Tapas,14 Jan 26
14 Jan 26,-12.59,Card ending 3696,,CREDIT CARD PURCHASE,AMAZON MARKETPLACE AU SYDNEY,36.20,Other shopping,Amazon,14 Jan 26
13 Jan 26,-20.59,Card ending 3696,,CREDIT CARD PURCHASE,Ezypay*Air Locker TraininSydney,48.79,Gym & fitness,Air Locker,13 Jan 26
13 Jan 26,-21.21,Card ending 3696,,CREDIT CARD PURCHASE,SQ *SAN REMO FISHERMEN'S San Remo,69.38,Restaurants & takeaway,San Remo Fisherman's Co-Op,13 Jan 26
13 Jan 26,-263.77,Card ending 3696,,CREDIT CARD PURCHASE,WWW.OCEANADVE* RCLLT0A SAN REMO,90.59,Uncategorised,,13 Jan 26
13 Jan 26,-26.00,Card ending 3696,,CREDIT CARD PURCHASE,GRUMPYS CRAZY GOLF COWES,354.36,Attractions & events,Grumpys Crazy Golf,13 Jan 26
12 Jan 26,-11.99,Card ending 3696,,CREDIT CARD PURCHASE,Google Geocaching Barangaroo,380.36,Electronics & technology,Google Australia,12 Jan 26
